350	0.00262	0.00009
351	0.00191	0.00009
352	0.00175	0.0001
353	0.00205	0.0001
354	0.00292	0.00011
355	0.0028	0.00011
356	0.00309	0.00012
357	0.0017	0.00012
358	0.00172	0.00013
359	0.00215	0.00013
360	0.00221	0.00014
361	0.00292	0.00015
362	0.00249	0.00015
363	0.00221	0.00016
364	0.00173	0.00017
365	0.00233	0.00017
366	0.00211	0.00018
367	0.00188	0.00019
368	0.00269	0.0002
369	0.00206	0.00021
370	0.00184	0.00022
371	0.00207	0.00023
372	0.00235	0.00023
373	0.00234	0.00024
374	0.00241	0.00025
375	0.00219	0.00027
376	0.00199	0.00028
377	0.00243	0.00029
378	0.00213	0.0003
379	0.00245	0.00031
380	0.00264	0.00032
381	0.00211	0.00034
382	0.0018	0.00035
383	0.00252	0.00036
384	0.00235	0.00038
385	0.00245	0.00039
386	0.00224	0.00041
387	0.00212	0.00042
388	0.00218	0.00044
389	0.00206	0.00046
390	0.00284	0.00047
391	0.00274	0.00049
392	0.00265	0.00051
393	0.0021	0.00053
394	0.00247	0.00055
395	0.00248	0.00057
396	0.00302	0.00059
397	0.00267	0.00061
398	0.00245	0.00063
399	0.00254	0.00066
400	0.0026	0.00068
401	0.0027	0.0007
402	0.00292	0.00073
403	0.0029	0.00075
404	0.00248	0.00078
405	0.00246	0.00081
406	0.00293	0.00084
407	0.00298	0.00086
408	0.00286	0.00089
409	0.00308	0.00092
410	0.00308	0.00095
411	0.00288	0.00099
412	0.00328	0.00102
413	0.00317	0.00105
414	0.00345	0.00109
415	0.00323	0.00112
416	0.00312	0.00116
417	0.00362	0.0012
418	0.0037	0.00123
419	0.00372	0.00127
420	0.00366	0.00131
421	0.00358	0.00136
422	0.00384	0.0014
423	0.00372	0.00144
424	0.00399	0.00149
425	0.004	0.00153
426	0.00407	0.00158
427	0.00387	0.00163
428	0.00423	0.00167
429	0.00461	0.00173
430	0.00455	0.00178
431	0.00432	0.00183
432	0.00443	0.00188
433	0.00465	0.00194
434	0.00461	0.002
435	0.00476	0.00205
436	0.00474	0.00211
437	0.00506	0.00217
438	0.00513	0.00224
439	0.00497	0.0023
440	0.00494	0.00236
441	0.00512	0.00243
442	0.00533	0.0025
443	0.00548	0.00257
444	0.00579	0.00264
445	0.00567	0.00271
446	0.00579	0.00279
447	0.00582	0.00286
448	0.00592	0.00294
449	0.00597	0.00302
450	0.00622	0.0031
451	0.00638	0.00318
452	0.00636	0.00327
453	0.00639	0.00335
454	0.00661	0.00344
455	0.00687	0.00353
456	0.00686	0.00362
457	0.00713	0.00371
458	0.00689	0.00381
459	0.00708	0.0039
